1019,BIT 1 A 22,Day,COMPUTER
1020,BIT 1B - 22,Day,COMPUTER
1021,BIT 1C - 22,Day,DRAFTING
1022,BIT 1A - 22,Day,COMPUTER
1023,BIT 1D - 22,Day,DRAFTING
1024,BIT 1E - 22,Day,ELECTRICAL
1025,BIT 1F - 22,Day,ELECTRICAL
1026,BIT 1G - 22,Day,ELECTRONICS
1028,BSIT 1A - 22,Day,BSIT
1029,BSIT 1B - 22,Day,BSIT
1030,BSMX 1A - 22,Day,BSMX
1031,BSMX 1B - 22,Day,BSMX
1032,BIT 2A - 22,Day,COMPUTER
1033,BIT 2B - 22,Day,DRAFTING
1034,BIT 2C - 22,Day,ELECTRICAL
1035,BSIT 2A - 22,Day,BSIT
1036,BSMX 2A - 22,Day,BSMX
1037,BIT 3A - 22,Day,COMPUTER
1038,BIT 3B - 22,Day,DRAFTING
1039,BIT 3C - 22,Day,ELECTRICAL
1040,BIT 3D - 22,Day,ELECTRONICS
1041,BSIT 3A - 22,Day,BSIT
1042,BSMX 3A - 22,Day,BSMX
1043,BIT 1A N - 22,Night,COMPUTER
1044,BIT 1B N - 22,Night,COMPUTER
1045,BIT 1C N - 22,Night,COMPUTER
1046,BIT 1D N - 22,Night,COMPUTER
1047,BIT 1E N - 22,Night,DRAFTING
1048,BIT 1F N - 22,Night,DRAFTING
1049,BIT 1G N - 22,Night,ELECTRICAL
1051,BIT 1I N - 22,Night,ELECTRONICS
1052,BIT 1J N - 22,Night,ELECTRONICS
1053,BIT 1H N - 22,Night,ELECTRICAL
1054,BIT 1H - 22,Day,ELECTRONICS
1055,BSIT 1A N - 22,Night,BSIT
1056,BSIT 1B N - 22,Night,BSIT
1057,BSMX 1A N - 22,Night,BSMX
1058,BSMX 1B N - 22,Night,BSMX
1059,BIT 2A N - 22,Night,COMPUTER
1060,BIT 2B N - 22,Night,COMPUTER
1061,BIT 2C N - 22,Night,COMPUTER
1062,BIT 2D N - 22,Night,COMPUTER
1063,BIT 2E N - 22,Night,DRAFTING
1064,BIT 2F N - 22,Night,ELECTRICAL
1065,BIT 2G N - 22,Night,ELECTRICAL
1066,BSIT 2A N - 22,Night,BSIT
1067,BSIT 2B N - 22,Night,BSIT
1068,BSMX 2A N - 22,Night,BSMX
1069,BSMX 2B N - 22,Night,BSMX
1070,BIT 3A N - 22,Night,COMPUTER
1071,BIT 3B N - 22,Night,COMPUTER
1072,BIT 3C N - 22,Night,COMPUTER
1073,BIT 3E N - 22,Night,DRAFTING
1074,BIT 3F N - 22,Night,ELECTRICAL
1075,BIT 3G N - 22,Night,ELECTRONICS
1076,BSIT 3A N - 22,Night,BSIT
1077,BSIT 3B N - 22,Night,BSIT
1078,BSMX 3A N - 22,Night,BSMX
1079,BIT 1G N - 22,Night,ELECTRICAL
